@relation input_channel_1

@attribute channel_1_0 numeric
@attribute channel_1_1 numeric
@attribute channel_1_2 numeric
@attribute channel_1_3 numeric
@attribute channel_1_4 numeric
@attribute channel_1_5 numeric
@attribute channel_1_6 numeric
@attribute channel_1_7 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
100,81,37,0,23,53,90,98,8
89,100,75,45,15,0,2,6,2
57,68,90,100,75,51,25,0,1
100,92,68,45,34,45,23,0,4
67,83,100,80,60,40,20,0,1
100,99,74,47,16,0,16,20,6
100,72,35,35,71,97,49,0,4
39,62,5,0,43,99,100,57,0
89,50,38,0,17,61,94,100,5
100,72,31,0,13,50,87,85,0
87,100,69,64,79,38,0,1,9
96,65,27,0,33,67,100,85,8
100,99,78,54,47,13,0,2,5
74,100,87,59,67,39,4,0,9
85,100,88,50,12,0,22,24,7
76,100,92,66,38,9,0,17,3
84,100,75,51,42,13,0,7,3
80,100,76,68,62,23,0,16,9
66,100,65,28,1,11,0,1,2
73,99,100,73,48,18,0,0,2
77,62,40,0,17,64,98,100,5
46,64,87,100,75,49,24,0,1
86,66,34,0,26,69,95,100,5
62,100,72,39,0,14,57,94,8
100,75,43,11,0,28,46,21,6
100,69,43,47,65,67,33,0,4
92,83,37,0,6,46,89,100,0
100,83,64,77,82,54,27,0,4
59,100,84,42,0,5,44,70,8
84,100,88,70,53,35,17,0,1
59,100,95,46,0,19,55,63,8
99,66,26,0,27,77,100,94,5
98,100,85,42,0,23,37,32,7
76,42,0,3,40,84,100,73,0
0,15,30,52,79,100,82,64,9
86,100,77,50,40,17,0,5,3
91,57,39,0,19,72,97,100,5
97,100,59,29,33,64,44,0,4
93,67,67,100,70,68,36,0,9
93,100,80,52,30,5,2,0,2
93,100,78,43,5,0,35,37,7
87,55,41,0,16,63,100,98,5
100,76,39,1,0,33,40,10,6
83,100,95,69,43,13,1,0,3
90,98,100,81,59,34,14,0,3
99,100,68,32,0,8,40,55,6
86,100,75,49,28,4,0,13,3
72,100,78,41,12,4,6,0,2
88,54,31,0,28,68,97,100,5
100,73,63,77,74,48,23,0,4
92,100,82,59,39,14,0,0,3
76,91,100,80,60,40,20,0,1
99,72,24,0,23,69,100,74,0
75,87,100,80,60,40,20,0,1
100,74,36,37,63,95,47,0,4
96,76,37,0,34,86,98,100,5
82,100,81,54,50,19,0,13,3
78,100,77,41,14,17,8,0,2
73,73,24,0,22,71,100,84,0
100,90,58,22,0,22,38,13,6
63,100,91,53,16,0,36,67,8
81,100,98,86,54,32,2,0,5
61,20,0,23,64,100,92,52,0
84,100,79,52,41,27,3,0,3
100,100,93,64,33,0,29,42,7
79,100,76,38,0,8,38,58,8
91,100,96,87,57,38,1,0,5
100,83,55,24,0,19,43,39,6
79,100,65,30,0,17,52,83,8
82,56,12,0,41,73,100,80,8
100,100,80,82,47,14,0,7,9
76,42,0,5,41,85,100,69,0
100,76,35,30,29,41,46,0,4
75,72,84,100,82,54,27,0,1
71,100,85,50,62,53,17,0,9
97,100,71,35,0,23,42,42,7
94,63,20,0,19,60,98,100,0
100,88,57,19,0,20,34,7,6
79,100,85,56,42,15,0,2,3
77,100,96,66,46,13,0,13,3
73,100,53,14,0,11,1,1,2
100,85,60,42,44,49,25,0,4
69,100,81,39,0,10,9,10,1
100,76,48,21,0,9,21,3,6
90,61,35,0,35,81,97,100,5
88,57,58,18,0,42,83,100,5
100,98,85,52,17,0,32,37,7
93,67,16,0,32,81,100,62,0
51,66,19,0,26,71,100,84,0
92,100,77,87,86,56,26,0,9
88,54,25,0,30,70,100,93,5
100,82,52,21,0,16,42,55,6
100,66,33,32,36,63,30,0,4
96,100,68,28,0,34,41,43,7
65,79,100,86,65,43,21,0,1
81,41,0,1,29,71,100,91,0
60,80,100,92,69,46,23,0,1
72,50,69,100,73,57,47,0,9
100,78,53,27,0,1,22,21,6
58,90,100,62,28,2,1,0,2
91,52,10,0,38,81,100,80,0
85,100,72,52,47,17,0,0,3
100,66,25,0,21,64,91,76,0
83,53,11,0,33,57,92,100,8
63,15,0,15,63,100,97,62,0
94,100,79,57,33,12,0,1,3
55,60,18,0,28,70,100,69,0
100,58,5,0,39,91,97,53,0
94,66,38,0,35,83,100,98,5
87,100,70,42,49,58,28,0,4
98,100,59,13,8,45,41,0,6
73,34,0,1,38,78,100,68,0
100,84,54,22,0,21,47,37,6
88,68,33,0,32,66,100,89,8
97,68,100,86,72,48,7,0,9
100,79,46,31,46,52,30,0,4
100,56,37,0,15,62,92,96,5
77,100,76,48,15,0,23,27,6
66,100,62,25,0,3,4,7,2
100,57,97,97,68,26,0,22,9
89,83,40,0,7,53,100,78,8
93,60,69,29,0,43,93,100,5
100,67,16,0,31,79,95,61,0
68,30,0,19,56,90,100,73,0
83,57,17,0,28,70,100,86,0
100,78,54,32,39,48,24,0,4
93,95,97,100,81,56,28,0,7
91,100,70,43,45,15,0,12,3
100,95,76,98,85,54,25,0,9
73,100,71,38,12,8,6,0,2
94,63,36,0,27,72,92,100,5
87,47,64,100,69,61,3,0,9
100,83,41,0,3,30,71,89,0
98,100,73,41,6,0,27,30,6
70,100,75,24,0,19,68,81,0
100,99,72,42,12,0,22,27,6
100,81,54,25,0,8,29,25,6
42,56,72,94,100,68,35,0,1
100,90,57,40,53,67,34,0,4
85,65,0,9,57,100,78,25,0
82,39,0,5,54,99,100,50,0
100,79,52,22,0,16,40,35,6
79,100,72,41,16,5,1,0,2
88,100,84,86,71,44,19,0,9
98,60,28,0,29,68,95,100,5
78,99,100,76,38,0,3,28,3
42,57,79,100,85,57,28,0,1
100,77,51,36,47,49,23,0,4
66,100,69,32,0,5,10,11,2
100,82,49,19,20,34,35,0,4
38,60,83,100,76,50,25,0,1
63,77,94,100,74,48,22,0,1
52,83,100,55,10,0,7,7,1
100,84,48,10,0,24,47,46,6
80,80,100,91,68,46,23,0,1
80,71,100,99,71,74,40,0,9
79,59,29,0,26,60,94,100,8
100,84,63,40,28,31,22,0,4
100,100,72,37,0,33,45,46,7
84,100,87,61,38,9,0,3,3
100,97,80,64,48,31,15,0,1
59,74,100,93,71,68,35,0,9
85,100,74,37,0,8,30,41,7
100,76,53,56,76,66,33,0,4
75,100,94,63,43,11,0,13,3
100,83,39,1,0,34,77,98,0
100,99,78,48,17,0,31,38,7
85,100,98,88,62,48,18,0,5
93,88,46,0,9,52,96,100,8
83,100,79,54,36,13,0,12,3
100,98,60,19,0,32,36,4,6
74,49,21,0,25,64,87,100,5
62,88,100,64,30,0,4,0,1
100,54,47,0,14,71,93,97,5
65,76,96,100,75,50,25,0,1
70,88,100,78,57,36,14,0,1
67,80,100,99,74,49,24,0,1
99,82,75,100,68,36,9,0,9
100,84,51,26,33,65,34,0,4
100,55,52,0,2,58,95,99,5
78,96,95,100,82,56,29,0,7
91,100,80,40,0,22,52,49,7
92,100,67,34,0,26,43,42,7
95,61,23,0,18,51,85,100,0
73,91,100,78,52,26,8,0,3
100,77,52,25,0,5,29,22,6
74,67,92,100,75,45,18,0,9
100,79,54,28,0,0,21,19,6
86,72,94,100,78,52,26,0,9
59,31,0,15,55,98,100,67,0
86,100,74,67,94,63,31,0,9
97,100,62,17,0,36,34,33,7
70,80,100,89,67,44,22,0,1
100,67,24,0,11,41,82,93,0
96,100,79,56,51,16,0,1,5
100,67,30,0,5,33,72,88,0
100,98,85,63,58,24,1,0,5
47,71,100,81,50,18,0,7,1
87,100,78,77,76,34,0,4,9
100,82,60,37,38,50,25,0,4
100,77,57,66,79,85,42,0,4
100,74,54,59,91,64,32,0,4
80,50,12,0,41,78,95,100,5
95,100,73,47,25,5,1,0,2
100,96,70,44,14,0,23,28,6
100,89,53,21,0,36,80,91,8
61,89,100,73,42,12,0,4,2
75,79,91,100,74,48,21,0,1
48,64,82,100,84,56,28,0,1
90,100,73,49,44,16,0,1,3
85,66,25,0,29,67,100,84,8
100,73,55,62,84,57,28,0,4
87,100,81,41,0,10,32,35,7
100,85,71,57,42,28,14,0,1
91,63,27,0,40,91,100,91,5
96,100,99,83,63,42,21,0,7
73,62,32,0,29,71,96,100,5
93,100,50,0,22,59,95,97,8
80,60,19,0,31,72,98,100,5
100,73,47,42,37,54,30,0,4
100,94,58,21,0,27,30,0,6
89,100,87,61,37,14,0,1,2
80,100,85,59,38,14,3,0,3
100,76,52,28,11,29,24,0,4
100,90,57,61,70,82,40,0,4
68,100,76,38,0,15,53,81,8
100,88,58,26,0,17,45,47,6
64,100,57,16,0,20,1,5,2
92,72,44,0,8,61,93,100,5
92,53,28,0,32,85,98,100,5
100,80,52,20,0,12,30,25,6
96,100,66,27,0,35,42,46,7
82,100,73,34,0,29,34,39,7
48,67,85,100,75,51,25,0,1
100,97,91,63,29,0,31,36,7
55,61,100,62,21,14,5,0,1
96,100,76,60,36,12,0,6,3
67,66,30,0,30,63,90,100,8
73,63,86,100,82,51,23,0,9
76,41,0,0,33,74,100,83,0
80,100,75,53,48,10,0,16,3
93,58,20,0,21,55,93,100,0
93,100,75,37,0,24,41,37,7
75,100,81,44,8,0,33,64,8
61,100,72,27,5,24,16,0,2
96,66,100,92,64,45,5,0,9
100,90,43,0,34,84,51,9,0
0,13,34,61,90,100,76,53,9
54,78,100,82,60,64,33,0,9
45,61,82,100,78,51,24,0,1
100,70,42,41,45,64,32,0,4
100,95,64,27,0,19,51,48,6
82,100,80,53,45,25,0,4,3
74,100,99,63,28,0,0,2,2
100,78,55,29,0,2,20,20,6
98,75,18,0,36,89,100,46,0
100,90,55,97,62,39,0,44,8
97,74,30,0,32,76,100,73,0
100,95,56,22,0,36,68,99,8
82,77,84,100,85,52,25,0,9
79,100,72,51,49,13,0,14,3
68,45,8,0,38,72,100,81,8
92,100,77,50,21,0,26,40,6
100,72,39,7,0,30,37,23,6
75,100,82,51,26,0,5,16,2
88,50,8,0,30,71,100,92,0
45,75,100,86,59,57,32,0,9
89,94,100,98,75,50,25,0,7
73,64,15,0,34,83,100,60,0
83,61,23,0,40,72,100,72,8
85,100,63,31,0,25,64,95,8
100,83,56,31,28,42,26,0,4
100,70,38,25,29,41,38,0,4
100,93,56,16,0,20,28,1,6
100,98,67,30,0,8,34,24,6
100,93,66,41,40,50,25,0,4
97,47,1,0,43,90,100,65,0
55,78,100,71,42,13,0,0,1
79,100,94,52,16,3,7,0,2
80,100,81,43,4,0,16,20,7
80,100,96,68,44,16,0,22,3
100,67,24,24,48,98,53,0,4
96,100,85,88,53,20,0,12,9
100,83,57,26,0,10,23,18,6
97,100,83,50,47,22,0,6,5
69,100,85,48,21,19,0,20,2
100,78,52,24,0,8,29,27,6
95,100,79,44,8,0,30,38,7
100,85,57,29,0,7,27,13,6
91,100,79,36,53,21,0,6,5
76,100,98,71,50,19,0,7,3
71,100,79,47,21,0,1,4,2
100,94,73,44,47,19,0,7,5
100,90,66,35,5,0,29,47,6
100,76,50,49,72,56,28,0,4
81,100,77,51,43,16,0,1,3
53,100,89,42,0,16,62,72,8
84,100,85,44,19,20,13,0,2
88,57,40,0,13,58,94,100,5
84,100,96,66,50,16,0,11,3
85,100,98,86,60,34,1,0,5
94,100,97,62,30,0,34,38,7
100,81,58,39,38,42,23,0,4
78,100,87,58,47,15,0,19,3
100,98,81,67,55,25,1,0,5
32,55,78,100,75,50,25,0,1
73,92,100,81,55,32,8,0,2
97,100,88,55,59,27,0,1,5
65,100,82,46,6,0,45,79,8
32,62,100,93,56,27,0,25,8
100,73,42,42,36,59,35,0,4
78,100,78,39,0,7,37,73,8
100,96,97,70,53,20,0,14,5
74,65,78,100,88,58,28,0,9
78,100,86,60,42,10,0,7,3
86,44,0,9,65,100,74,20,0
85,100,91,65,43,20,6,0,2
84,100,71,33,0,28,44,46,7
82,55,100,87,37,0,7,5,1
65,91,100,62,23,2,5,0,1
63,67,84,100,74,47,21,0,1
100,93,61,37,35,57,34,0,4
88,100,80,40,0,13,42,46,7
89,100,93,62,31,0,17,34,7
76,68,29,0,32,68,100,86,8
52,73,94,100,75,49,22,0,1
92,94,68,100,69,24,0,3,9
100,56,8,0,33,79,94,72,0
100,100,69,35,0,0,34,51,6
76,100,65,27,0,22,36,8,6
66,89,66,32,0,34,72,100,8
100,91,50,20,17,17,4,0,2
85,100,77,50,44,22,2,0,3
100,96,65,32,0,14,47,74,8
89,100,85,61,44,21,11,0,2
99,68,74,25,0,49,96,100,5
83,100,78,53,37,17,0,7,3
100,91,60,24,0,24,30,0,6
83,100,90,61,45,15,0,7,3
76,100,97,63,31,5,2,0,2
95,100,78,52,27,5,0,1,2
100,78,53,26,0,7,28,21,6
79,100,66,32,3,0,5,7,2
86,60,27,0,9,37,70,100,0
79,100,62,27,0,3,39,71,8
96,68,100,87,80,30,0,32,9
